haystack,iana
Abidjan,Africa/Abidjan
Accra,Africa/Accra
Adak,America/Adak
Adelaide,Australia/Adelaide
Algiers,Africa/Algiers
Almaty,Asia/Almaty
Amman,Asia/Amman
Amsterdam,Europe/Amsterdam
Anadyr,Asia/Anadyr
Anchorage,America/Anchorage
Andorra,Europe/Andorra
Apia,Pacific/Apia
Aqtau,Asia/Aqtau
Aqtobe,Asia/Aqtobe
Araguaina,America/Araguaina
Ashgabat,Asia/Ashgabat
Astrakhan,Europe/Astrakhan
Asuncion,America/Asuncion
Athens,Europe/Athens
Atikokan,America/Atikokan
Atyrau,Asia/Atyrau
Auckland,Pacific/Auckland
Azores,Atlantic/Azores
Baghdad,Asia/Baghdad
Bahia,America/Bahia
Bahia_Banderas,America/Bahia_Banderas
Baku,Asia/Baku
Bangkok,Asia/Bangkok
Barbados,America/Barbados
Barnaul,Asia/Barnaul
Beirut,Asia/Beirut
Belem,America/Belem
Belgrade,Europe/Belgrade
Belize,America/Belize
Berlin,Europe/Berlin
Bermuda,Atlantic/Bermuda
Beulah,America/North_Dakota/Beulah
Bishkek,Asia/Bishkek
Bissau,Africa/Bissau
Blanc-Sablon,America/Blanc-Sablon
Boa_Vista,America/Boa_Vista
Bogota,America/Bogota
Boise,America/Boise
Bougainville,Pacific/Bougainville
Brisbane,Australia/Brisbane
Broken_Hill,Australia/Broken_Hill
Brunei,Asia/Brunei
Brussels,Europe/Brussels
Bucharest,Europe/Bucharest
Budapest,Europe/Budapest
Buenos_Aires,America/Buenos_Aires
Cairo,Africa/Cairo
Cambridge_Bay,America/Cambridge_Bay
Campo_Grande,America/Campo_Grande
Canary,Atlantic/Canary
Cancun,America/Cancun
Cape_Verde,Atlantic/Cape_Verde
Caracas,America/Caracas
Casablanca,Africa/Casablanca
Casey,Antarctica/Casey
Catamarca,America/Catamarca
Cayenne,America/Cayenne
Center,America/North_Dakota/Center
Ceuta,Africa/Ceuta
Chagos,Indian/Chagos
Chatham,Pacific/Chatham
Chicago,America/Chicago
Chihuahua,America/Chihuahua
Chisinau,Europe/Chisinau
Chita,Asia/Chita
Choibalsan,Asia/Choibalsan
Christmas,Indian/Christmas
Chuuk,Pacific/Chuuk
Cocos,Indian/Cocos
Colombo,Asia/Colombo
Copenhagen,Europe/Copenhagen
Cordoba,America/Argentina/Cordoba
Costa_Rica,America/Costa_Rica
Creston,America/Creston
Cuiaba,America/Cuiaba
Curacao,America/Curacao
Currie,Australia/Currie
Damascus,Asia/Damascus
Danmarkshavn,America/Danmarkshavn
Darwin,Australia/Darwin
Davis,Antarctica/Davis
Dawson,America/Dawson
Dawson_Creek,America/Dawson_Creek
Denver,America/Denver
Detroit,America/Detroit
Dhaka,Asia/Dhaka
Dili,Asia/Dili
Dubai,Asia/Dubai
Dublin,Europe/Dublin
DumontDUrville,Antarctica/DumontDUrville
Dushanbe,Asia/Dushanbe
Easter,US/Eastern
Edmonton,America/Edmonton
Efate,Pacific/Efate
Eirunepe,America/Eirunepe
El_Aaiun,Africa/El_Aaiun
El_Salvador,America/El_Salvador
Enderbury,Pacific/Enderbury
Eucla,Australia/Eucla
Fakaofo,Pacific/Fakaofo
Famagusta,Asia/Famagusta
Faroe,Atlantic/Faroe
Fiji,Pacific/Fiji
Fort_Nelson,America/Fort_Nelson
Fortaleza,America/Fortaleza
Funafuti,Pacific/Funafuti
GMT,Etc/GMT-11
GMT+1,Etc/GMT+1
GMT+10,Etc/GMT+10
GMT+11,Etc/GMT+11
GMT+12,Etc/GMT+12
GMT+2,Etc/GMT+2
GMT+3,Etc/GMT+3
GMT+4,Etc/GMT+4
GMT+5,Etc/GMT+5
GMT+6,Etc/GMT+6
GMT+7,Etc/GMT+7
GMT+8,Etc/GMT+8
GMT+9,Etc/GMT+9
GMT-1,Etc/GMT-11
GMT-10,Etc/GMT-10
GMT-11,Etc/GMT-11
GMT-12,Etc/GMT-12
GMT-13,Etc/GMT-13
GMT-14,Etc/GMT-14
GMT-2,Etc/GMT-2
GMT-3,Etc/GMT-3
GMT-4,Etc/GMT-4
GMT-5,Etc/GMT-5
GMT-6,Etc/GMT-6
GMT-7,Etc/GMT-7
GMT-8,Etc/GMT-8
GMT-9,Etc/GMT-9
Galapagos,Pacific/Galapagos
Gambier,Pacific/Gambier
Gaza,Asia/Gaza
Gibraltar,Europe/Gibraltar
Glace_Bay,America/Glace_Bay
Godthab,America/Godthab
Goose_Bay,America/Goose_Bay
Grand_Turk,America/Grand_Turk
Guadalcanal,Pacific/Guadalcanal
Guam,Pacific/Guam
Guatemala,America/Guatemala
Guayaquil,America/Guayaquil
Guyana,America/Guyana
Halifax,America/Halifax
Havana,America/Havana
Hebron,Asia/Hebron
Helsinki,Europe/Helsinki
Hermosillo,America/Hermosillo
Ho_Chi_Minh,Asia/Ho_Chi_Minh
Hobart,Australia/Hobart
Hong_Kong,Asia/Hong_Kong
Honolulu,Pacific/Honolulu
Hovd,Asia/Hovd
Indianapolis,America/Indianapolis
Inuvik,America/Inuvik
Iqaluit,America/Iqaluit
Irkutsk,Asia/Irkutsk
Istanbul,Asia/Istanbul
Jakarta,Asia/Jakarta
Jamaica,Jamaica
Jayapura,Asia/Jayapura
Jerusalem,Asia/Jerusalem
Johannesburg,Africa/Johannesburg
Juba,Africa/Juba
Jujuy,America/Argentina/Jujuy
Juneau,America/Juneau
Kabul,Asia/Kabul
